role,country,n,experience_level,median_salary,salary_low,salary_high
Full Stack,Costa Rica,,TEN_PLUS,,84,125
Designer,Colombia,,TEN_PLUS,,71,106
DevOps,Mexico,,TEN_PLUS,,92,138
Designer,Chile,,TEN_PLUS,,71,106
Data Analyst,Romania,,TEN_PLUS,,51,77
Data Analyst,Spain,,TEN_PLUS,,54,81
DevOps,Colombia,,TEN_PLUS,,92,138
Mobile,Canada,,TEN_PLUS,,118,142
Designer,Romania,,TEN_PLUS,,51,77
DevOps,Chile,,TEN_PLUS,,92,138
AI/ML,Poland,,TEN_PLUS,,108,162
Automation QA,Romania,,TEN_PLUS,,60,90
Mobile,Costa Rica,,TEN_PLUS,,84,125
Automation QA,Chile,,TEN_PLUS,,84,125
AI/ML,Romania,,TEN_PLUS,,66,99
Mobile,Spain,,TEN_PLUS,,63,95
